ID_Objednavky,ID_Zakaznika,Email_Zakaznika,Telefon_Zakaznika,Datum,Cislo_Objednavky,Cena,ID_Zaznamu_Psa,ID_Mixu,ID_Rasy,Meno_Psa,Rasa,Receptura,Davka_Gramy,Hmotnost_Kg,Datum_Narodenia,Pohlavi,ID_Kondicie,ID_Aktivity,Je_Stene_Boolean,Pouzite_Vouchery,Poznamka_Zakaznika,Alergie
4474,0,"",,2017-12-28 12:02:22,17641785,532.00,4475,,,Alík 018,,,497,,2013-10-28 09:35:27,,,,,,,
4469,0,"",,2017-12-28 08:29:38,17313166,2128.00,4471,,,vanoce,,,,,2013-08-28 08:28:19,,,,,,,
4465,0,"",,2017-12-20 13:36:14,17038810,1176.00,4466,,,asdasdas,,,,,2017-07-01 00:18:15,,,,,,,
4463,0,"",,2017-12-20 13:15:14,17570118,308.00,4464,,,Asta,,,,,2014-10-20 13:14:30,,,,,,,
4459,0,"",,2017-12-20 10:01:09,17713446,196.00,4460,,,Wulfy,,,,,2016-10-20 10:00:17,,,,,,"",
4455,0,"",,2017-12-20 09:50:20,17535649,1820.00,4456,,,rfewgrehtf,,,409,,2015-10-20 08:11:00,,,,,,"",
4453,0,"",,2017-12-20 08:35:27,17030876,840.00,4454,,,Pejsek 123,,,,,2016-10-20 08:35:10,,,,,,"",
4449,0,"",,2017-12-19 13:23:37,17285726,756.00,4450,,,Saša 19.12.2017,,,,,2015-04-19 13:23:18,,,,,,,
4441,0,"",,2017-12-19 13:16:26,17806016,3507.00,4442,,,asdasd,,,,,2008-09-19 13:14:39,,,,,,,
4439,0,"",,2017-12-19 13:15:35,17715113,532.00,4446,,,AL test,,,355,,2012-10-19 13:22:03,,,,,,,
4432,0,"",,2017-12-19 08:54:02,17090546,952.00,4433,,,ukaz,,,,,2012-08-16 08:29:26,,,,,,,
4417,0,"",,2017-12-18 11:48:41,17454897,4312.00,4418,,,asdasdas,,,,,2017-07-01 00:18:15,,,,,,,
4417,0,"",,2017-12-18 11:48:41,17454897,4312.00,4421,,,fsdf,,,,,2008-04-18 11:57:08,,,,,,,
4415,0,"",,2017-12-18 11:30:54,17223736,364.00,4416,,,Test - 18.12.2017,,,,,2017-08-18 11:30:50,,,,,,,
4411,0,"",,2017-12-18 11:29:04,17651809,1120.00,4412,,,Pes - 18.12.2017,,,,,2015-08-18 11:28:59,,,,,,,
4388,0,"",,2017-12-15 10:13:07,17869451,2252.00,4389,,,asdasd,,,,,2005-08-01 19:14:52,,,,,,"",
4386,0,"",,2017-12-14 14:26:42,17446541,896.00,4387,,,AL - 14.12.2017,,,,,2014-07-14 14:26:27,,,,,,"",
4381,0,"",,2017-12-14 14:22:26,17124853,1316.00,4383,,,lkjhg,,,,,2015-08-27 09:47:28,,,,,,"",
4369,0,"",,2017-12-07 20:32:31,17462928,672.00,4370,,,Alexander,,,,,2017-08-20 20:31:04,,,,,,,
4364,0,"",,2017-12-07 16:18:18,17310418,2408.00,4365,,,Krutopřísnej pejsek,,,,,2016-02-12 16:17:57,,,,,,,
4356,0,"",,2017-12-07 16:06:33,17267712,1652.00,4357,,,Saša 4.12.2017,,,,,2014-09-04 08:24:33,,,,,,"",
4338,0,"",,2017-12-07 13:20:47,17093818,2408.00,4339,,,Frannie 1123,,,,,2016-04-07 13:20:29,,,,,,,
4334,0,"",,2017-12-07 13:18:40,17291185,1652.00,4335,,,Frannie 7.12.2017,,,,,2012-08-07 13:18:15,,,,,,,
4310,0,"",,2017-12-07 09:33:25,17961661,2940.00,4312,,,blankf5jeste,,,,,2013-10-07 09:33:00,,,,,,,
4302,0,"",,2017-12-07 09:29:47,17353786,1904.00,4307,,,f5blank,,,,,2011-10-07 09:28:28,,,,,,,
4292,0,"",,2017-12-06 16:13:27,17125071,672.00,4293,,,SuperPES,,,,,2015-10-06 16:12:50,,,,,,,
4283,0,"",,2017-12-06 13:20:03,17575566,2072.00,4284,,,adasd,,,,,2003-11-06 13:18:56,,,,,,,
4271,0,"",,2017-12-06 11:17:25,17375580,2016.00,4280,,,jhgjhg,,,,,2016-07-06 12:35:46,,,,,,,
4245,0,"",,2017-12-01 12:03:37,17193197,1148.00,,,,,,,,,,,,,,,,
4243,0,"",,2017-12-01 11:50:01,17031991,728.00,4244,,,angie3,,,,,2017-01-01 11:10:05,,,,,,,
4241,0,"",,2017-12-01 11:49:55,17113472,4340.00,4242,,,angie1,,,,,2011-12-01 11:08:16,,,,,,,
4178,0,"",,2017-11-30 23:17:31,17580298,1148.00,4179,,,budedosp,,,,,2016-06-30 23:17:01,,,,,,,
4164,0,"",,2017-11-30 15:21:26,17405425,336.00,4165,,,hafííík,,,,,2017-09-28 08:35:42,,,,,,,
4114,0,"",,2017-11-30 11:35:23,17098623,2380.00,4116,,,123 - V order,,,583,,2013-04-01 09:38:53,,,,,,,
